,open,close,high,low,volume,H-L,H-PC,L-PC,TR,ATR,Upper Basic,Lower Basic,Upper Band,Lower Band,SuperTrend
1041,323.9,323.45,323.9,322.45,0,1.4499999999999886,0.7999999999999545,0.6500000000000341,1.4499999999999886,0.8428074368202585,325.7034223104607,320.6465776895392,325.7034223104607,323.08949789225676,323.08949789225676
1042,323.0,323.2,323.6,322.8,0,0.8000000000000114,0.1500000000000341,0.6499999999999773,0.8000000000000114,0.8374565072177276,325.7123695216532,320.6876304783469,325.7034223104607,323.08949789225676,323.08949789225676
1043,323.45,325.35,323.55,323.0,0,0.5500000000000114,0.35000000000002274,0.19999999999998863,0.5500000000000114,0.801524443815513,325.67957333144653,320.8704266685534,325.67957333144653,323.08949789225676,323.08949789225676
1044,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.8200838883385796,327.2852516650157,322.36474833498426,325.67957333144653,323.08949789225676,323.08949789225676
1045,325.25,324.95,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.8238234022962599,327.6214702068888,322.6785297931112,325.67957333144653,323.08949789225676,323.08949789225676
1046,324.65,323.6,324.9,324.65,0,0.25,0.05000000000001137,0.30000000000001137,0.30000000000001137,0.7583454770092288,327.05003643102765,322.4999635689723,325.67957333144653,323.08949789225676,323.08949789225676
1047,324.9,324.0,325.0,323.4,0,1.6000000000000227,1.3999999999999773,0.20000000000004547,1.6000000000000227,0.8635522923830781,326.7906568771492,321.60934312285076,325.67957333144653,323.08949789225676,323.08949789225676
1048,323.5,324.4,324.0,323.4,0,0.6000000000000227,0.0,0.6000000000000227,0.6000000000000227,0.8306082558351962,326.1918247675056,321.2081752324944,325.67957333144653,323.08949789225676,323.08949789225676
1049,324.0,324.0,324.5,323.9,0,0.6000000000000227,0.10000000000002274,0.5,0.6000000000000227,0.8017822238557994,326.60534667156736,321.7946533284326,325.67957333144653,323.08949789225676,323.08949789225676
1050,324.4,323.75,324.4,324.0,0,0.39999999999997726,0.39999999999997726,0.0,0.39999999999997726,0.7515594458738217,326.45467833762143,321.94532166237855,325.67957333144653,323.08949789225676,323.08949789225676
1051,324.2,323.65,324.2,323.8,0,0.39999999999997726,0.44999999999998863,0.05000000000001137,0.44999999999998863,0.7138645151395926,326.1415935454188,321.8584064545812,325.67957333144653,323.08949789225676,323.08949789225676
1052,323.9,323.4,324.0,323.55,0,0.44999999999998863,0.35000000000002274,0.0999999999999659,0.44999999999998863,0.6808814507471421,325.8176443522414,321.73235564775854,325.67957333144653,323.08949789225676,323.08949789225676
